ano_mes_inicio,faturamento_total,faturamento_colaborativo,faturamento_proprio,qtd_projetos,qtd_projetos_impacto,qtd_projetos_concluidos,csat_medio,qtd_avaliacoes_csat,pct_projetos_impacto,pct_faturamento_colaborativo
2024-03,2500,0,2500,1,0,1,5.0,1,0.0,0.0
2024-04,5000,5000,0,1,0,1,5.0,1,0.0,1.0
2024-05,3000,0,3000,1,0,1,4.0,1,0.0,0.0
2024-07,17000,0,17000,1,0,1,4.0,1,0.0,0.0
2024-08,27000,20000,7000,2,0,2,4.5,2,0.0,0.7407407407407407
2024-09,10000,0,10000,1,0,1,4.0,1,0.0,0.0
2024-10,15000,0,15000,1,0,1,5.0,1,0.0,0.0
2024-11,35000,35000,0,1,1,1,5.0,1,1.0,1.0
2025-03,25000,25000,0,1,0,1,4.0,1,0.0,1.0
2025-04,8000,0,8000,1,0,1,5.0,1,0.0,0.0
2025-07,13000,0,13000,1,0,1,5.0,1,0.0,0.0
2025-09,15000,15000,0,1,0,1,5.0,1,0.0,1.0
2025-11,27000,20000,7000,2,1,2,4.5,2,0.5,0.7407407407407407
2026-02,18000,18000,0,1,0,0,,0,0.0,1.0
2026-05,5000,0,5000,1,0,0,,0,0.0,0.0
2026-06,10000,0,10000,1,1,0,,0,1.0,0.0
2026-08,2000,0,2000,1,0,0,,0,0.0,0.0
2026-10,39000,35000,4000,3,0,0,,0,0.0,0.8974358974358975
