ano_mes,metrica,metodo,previsto,intervalo_inferior,intervalo_superior
2026-11,faturamento_total,baseline,13666.666666666666,0.0,35945.0072166558
2026-12,faturamento_total,baseline,13666.666666666666,0.0,35945.0072166558
2027-01,faturamento_total,baseline,13666.666666666666,0.0,35945.0072166558
2027-02,faturamento_total,baseline,13666.666666666666,0.0,35945.0072166558
2027-03,faturamento_total,baseline,13666.666666666666,0.0,35945.0072166558
2027-04,faturamento_total,baseline,13666.666666666666,0.0,35945.0072166558
2026-11,faturamento_colaborativo,baseline,11666.666666666666,0.0,32533.60451488221
2026-12,faturamento_colaborativo,baseline,11666.666666666666,0.0,32533.60451488221
2027-01,faturamento_colaborativo,baseline,11666.666666666666,0.0,32533.60451488221
2027-02,faturamento_colaborativo,baseline,11666.666666666666,0.0,32533.60451488221
2027-03,faturamento_colaborativo,baseline,11666.666666666666,0.0,32533.60451488221
2027-04,faturamento_colaborativo,baseline,11666.666666666666,0.0,32533.60451488221
